id1	id2	type
1373	FKBP4	PGR	PPI
1469	ESR1	FKBP4	PPI
3464	MYC	USP28	PPI
3933	CACNG3	MDM2	PPI
8187	KRT33A	KRT5	PPI
10000	ESR1	PPP5C	PPI
14749	DCN	ERBB2	PPI
14750	DCN	EGFR	PPI
18632	CDC6	RFC2	PPI
19183	EXO1	RFC2	PPI
27961	ESR1	KDM4B	PPI
30368	NDC80	PPP2R5B	PPI
30467	NUF2	PPP2R5B	PPI
30596	BIRC5	PPP2R5B	PPI
30899	CENPF	PPP2R5B	PPI
30952	KIF2C	PPP2R5B	PPI
30960	CDC20	PPP2R5B	PPI
32427	KRT14	KRT5	PPI
32428	KRT1	KRT14	PPI
32429	KRT14	KRT75	PPI
32430	KRT14	KRT6C	PPI
32431	KRT14	KRT6B	PPI
32432	KRT14	KRT85	PPI
32433	KRT14	KRT84	PPI
32434	KRT14	KRT82	PPI
32435	KRT14	KRT71	PPI
32436	KRT14	KRT83	PPI
32437	KRT14	KRT72	PPI
32438	KRT14	KRT78	PPI
32439	KRT14	KRT73	PPI
32440	KRT14	KRT74	PPI
32442	KRT14	KRT2	PPI
32444	KRT14	KRT79	PPI
32445	KRT14	KRT7	PPI
32446	KRT14	KRT76	PPI
32447	KRT14	KRT77	PPI
32450	KRT14	KRT6A	PPI
32451	KRT14	KRT81	PPI
32453	KRT14	KRT80	PPI
32454	KRT14	KRT3	PPI
32455	KRT14	KRT86	PPI
32456	KRT14	KRT4	PPI
32457	KRT14	KRT8	PPI
32458	KRT20	KRT5	PPI
33142	FGF4	FGFR4	PPI
34574	KEAP1	UBE2C	PPI
36727	ERBB2	PTPN18	PPI
36734	EGFR	PTPN18	PPI
40135	FGF20	FGFR4	PPI
40401	CCNB1	CDK13	PPI
46282	NDC80	ZW10	PPI
46373	NUF2	ZW10	PPI
46502	BIRC5	ZW10	PPI
46777	CENPF	ZW10	PPI
46829	KIF2C	ZW10	PPI
46837	CDC20	ZW10	PPI
47910	MYC	TFAP2C	PPI
48391	ESR1	OTUB2	PPI
49058	EFNB1	GRB7	PPI
50948	KRT23	KRT5	PPI
50983	CDC6	MCM5	PPI
50994	CDC6	ORC6	PPI
51000	CDC6	RPA3	PPI
51004	CDC6	KITLG	PPI
51005	CDC6	CDKN1B	PPI
51009	CDC6	ORC2	PPI
51022	CDC6	RPA1	PPI
51033	CDC6	ORC3	PPI
51046	CDC6	HUS1	PPI
51050	CDC6	TOPBP1	PPI
51069	CDC6	MCM4	PPI
51078	CCNE1	CDC6	PPI
51083	CDC6	MCM6	PPI
51092	CDC6	MCM2	PPI
51099	CDC6	DBF4	PPI
51113	CDC6	CDK2	PPI
51124	CDC6	RPS27A	PPI
51161	CDC6	ORC5	PPI
51166	CDC6	CDT1	PPI
51172	CDC6	UBB	PPI
51176	CDC6	MCM7	PPI
51187	CDC6	RAD9A	PPI
51190	CDC6	CLSPN	PPI
51206	CDC6	TREX1	PPI
51222	ATR	CDC6	PPI
51248	CDC6	ORC1	PPI
51253	CDC6	RPA4	PPI
51256	CDC6	RPA2	PPI
51276	CDC6	MCM8	PPI
51291	CDC6	RFC3	PPI
51297	CDC6	RAD1	PPI
51301	CDC6	PPP2R3B	PPI
51303	CDC6	RFC4	PPI
51343	CDC6	UBA52	PPI
