id	presence
UBE2T	TRUE
BIRC5	TRUE
NUF2	TRUE
CDC6	TRUE
CCNB1	TRUE
TYMS	TRUE
MYBL2	TRUE
CEP55	TRUE
MELK	TRUE
NDC80	TRUE
RRM2	TRUE
UBE2C	TRUE
CENPF	TRUE
PTTG1	TRUE
EXO1	TRUE
ORC6L	TRUE
ANLN	TRUE
CCNE1	TRUE
CDC20	TRUE
MKI67	TRUE
KIF2C	TRUE
ACTR3B	FALSE
MYC	TRUE
EGFR	TRUE
KRT5	TRUE
PHGDH	FALSE
CDH3	TRUE
MIA	TRUE
KRT17	TRUE
FOXC1	TRUE
SFRP1	TRUE
KRT14	TRUE
ESR1	TRUE
SLC39A6	TRUE
BAG1	FALSE
MAPT	TRUE
PGR	TRUE
CXXC5	TRUE
MLPH	TRUE
BCL2	TRUE
MDM2	TRUE
NAT1	TRUE
FOXA1	TRUE
BLVRA	FALSE
MMP11	TRUE
GPR160	TRUE
FGFR4	FALSE
GRB7	TRUE
TMEM45B	FALSE
ERBB2	TRUE
