id	TF_family	gen_type
CBX2	AT hook	TF
HMGA1	AT hook	TF
MXD3	bHLH	TF
MYC	bHLH	TF
XBP1	bZIP	TF
BCL11A	C2H2 ZF	TF
L3MBTL4	C2H2 ZF	TF
OSR1	C2H2 ZF	TF
PLAGL1	C2H2 ZF	TF
PRDM13	C2H2 ZF	TF
ZBTB4	C2H2 ZF	TF
ZBTB42	C2H2 ZF	TF
ZNF367	C2H2 ZF	TF
ZNF396	C2H2 ZF	TF
ZNF552	C2H2 ZF	TF
ZNF695	C2H2 ZF	TF
ZNF703	C2H2 ZF	TF
YBX1	CSD	TF
CXXC5	CxxC	TF
E2F1	E2F	TF
E2F2	E2F	TF
E2F3	E2F	TF
E2F7	E2F	TF
E2F8	E2F	TF
SPDEF	Ets	TF
FOXA1	Forkhead	TF
FOXC1	Forkhead	TF
FOXM1	Forkhead	TF
GATA3	GATA	TF
SOX10	HMG/Sox	TF
SOX8	HMG/Sox	TF
TCF7L1	HMG/Sox	TF
DLX6	Homeodomain	TF
EN1	Homeodomain	TF
IRX1	Homeodomain	TF
LMX1B	Homeodomain	TF
NKX3-2	Homeodomain	TF
POU4F1	Homeodomain; POU	TF
POU5F1	Homeodomain; POU	TF
MYB	Myb/SANT	TF
MYBL2	Myb/SANT	TF
AR	Nuclear receptor	TF
ESR1	Nuclear receptor	TF
PGR	Nuclear receptor	TF
AEBP1	Unknown	TF
CENPA	Unknown	TF
DACH1	Unknown	TF
TP63	p53	TF
TBX19	T-box	TF
