Var1	Var2
C16orf57	NUP93
CCNE1	NUP93
FANCA	NUP93
C15orf42	NUP93
CDCA8	NUP93
GINS3	NUP93
C16orf61	NUP93
MYBL2	NUP93
CDC20	NUP93
CENPN	NUP93
GPSM2	GTSE1
CKS1B	GTSE1
C15orf23	GTSE1
DLGAP5	GTSE1
ERCC6L	GTSE1
ASF1B	GTSE1
C9orf140	GTSE1
C1orf135	GTSE1
FAM64A	GTSE1
CDC45	GTSE1
CCDC150	GTSE1
FAM72D	GTSE1
FAM72B	GTSE1
FAM72A	GTSE1
E2F7	GTSE1
E2F2	GTSE1
E2F1	GTSE1
E2F8	GTSE1
AURKA	GTSE1
AURKB	GTSE1
CDC6	GTSE1
CDC7	GTSE1
DBF4	GTSE1
CCNE2	GTSE1
CCNE1	GTSE1
CIT	GTSE1
ESCO2	GTSE1
BUB1B	GTSE1
CDC25C	GTSE1
DEPDC1	GTSE1
FANCB	GTSE1
FANCA	GTSE1
FANCI	GTSE1
CDK1	GTSE1
CEP55	GTSE1
CCDC99	GTSE1
C15orf42	GTSE1
BIRC5	GTSE1
ANLN	GTSE1
GSG2	GTSE1
C12orf48	GTSE1
ARHGAP11A	GTSE1
ARHGAP11B	GTSE1
CENPM	GTSE1
FBXO5	GTSE1
FOXM1	GTSE1
CHAF1B	GTSE1
CDCA2	GTSE1
CDCA3	GTSE1
CDCA5	GTSE1
CDCA8	GTSE1
CHEK1	GTSE1
GINS3	GTSE1
GINS1	GTSE1
CDC25A	GTSE1
CLSPN	GTSE1
CDC20	GTSE1
BLM	GTSE1
BUB1	GTSE1
CKAP2L	GTSE1
CCNB2	GTSE1
CCNB1	GTSE1
DDX39	GTSE1
ASPM	GTSE1
CDKN3	GTSE1
DIAPH3	GTSE1
DONSON	GTSE1
CKS2	GTSE1
ATAD2	GTSE1
ESPL1	GTSE1
FANCD2	GTSE1
FEN1	GTSE1
DEPDC1B	GTSE1
CCNA2	GTSE1
EXO1	GTSE1
EPR1	GTSE1
EME1	GTSE1
C17orf53	GTSE1
FAM54A	GTSE1
FAM83D	GTSE1
CENPO	GTSE1
CENPN	GTSE1
CENPL	GTSE1
CENPK	GTSE1
CENPI	GTSE1
CENPF	GTSE1
CENPE	GTSE1
CENPA	GTSE1
CENPW	GTSE1
CTPS	GTSE1
DSCC1	GTSE1
EZH2	GTSE1
CASC5	GTSE1
DNA2	GTSE1
ECT2	GTSE1
DTL	GTSE1
FAM111B	GTSE1
CDT1	GTSE1
C9orf100	GTSE1
DACT1	GRP
ADAM12	GRP
COL10A1	GRP
GLT8D2	GRP
COL1A2	GRP
CTSK	GRP
FAP	GRP
C1QTNF6	GRP
CYS1	GRP
COL5A2	GRP
COL5A3	GRP
COL5A1	GRP
ANTXR1	GRP
COL1A1	GRP
COL6A1	GRP
COL6A3	GRP
AEBP1	GRP
CDH11	GRP
COL3A1	GRP
CORIN	GRP
ART3	THSD4
ABAT	THSD4
SIDT1	THSD4
GPR77	THSD4
TBC1D9	THSD4
C4orf34	THSD4
PSMB2	THSD4
FSIP1	THSD4
C16orf57	THSD4
B3GNT5	THSD4
RNF103	THSD4
LMX1B	THSD4
RABEP1	THSD4
SLC16A6	THSD4
EN1	THSD4
SYTL4	THSD4
NUDT12	THSD4
IL12RB2	THSD4
RALGPS2	THSD4
BCL2	THSD4
MAGED2	THSD4
ATP8B1	THSD4
NAT1	THSD4
INPP4B	THSD4
FLJ45983	THSD4
CCNE1	THSD4
MLPH	THSD4
CHODL	THSD4
FOXC1	THSD4
FAM174A	THSD4
C6orf211	THSD4
FAM136A	THSD4
CA12	THSD4
RUNDC1	THSD4
AGR2	THSD4
AGR3	THSD4
HHAT	THSD4
CDK2AP1	THSD4
FAM47E	THSD4
GAMT	THSD4
SFRS13B	THSD4
P4HTM	THSD4
SKP1	THSD4
HAPLN3	THSD4
RERG	THSD4
AFF3	THSD4
SLC7A8	THSD4
C11orf75	THSD4
PPP1R14C	THSD4
SLC39A6	THSD4
MTHFD1L	THSD4
PGR	THSD4
SCUBE2	THSD4
HORMAD1	THSD4
GFRA1	THSD4
SEMA3F	THSD4
KCNJ11	THSD4
AR	THSD4
SUV39H2	THSD4
CMBL	THSD4
A2ML1	THSD4
CCDC125	THSD4
