id1	id2	type
DLGAP5	GTSE1	correlation_pair
FAM64A	GTSE1	correlation_pair
CDC45	GTSE1	correlation_pair
AURKB	GTSE1	correlation_pair
BUB1B	GTSE1	correlation_pair
CEP55	GTSE1	correlation_pair
C15orf42	GTSE1	correlation_pair
BIRC5	GTSE1	correlation_pair
FOXM1	GTSE1	correlation_pair
CDCA3	GTSE1	correlation_pair
CDCA5	GTSE1	correlation_pair
CDCA8	GTSE1	correlation_pair
CDC20	GTSE1	correlation_pair
BUB1	GTSE1	correlation_pair
CKAP2L	GTSE1	correlation_pair
CCNB2	GTSE1	correlation_pair
ASPM	GTSE1	correlation_pair
DEPDC1B	GTSE1	correlation_pair
CCNA2	GTSE1	correlation_pair
EXO1	GTSE1	correlation_pair
FAM83D	GTSE1	correlation_pair
CENPA	GTSE1	correlation_pair
TBC1D9	THSD4	correlation_pair
ESR1	THSD4	correlation_pair
CT62	THSD4	correlation_pair
GTSE1	MCM10	correlation_pair
DLGAP5	MCM10	correlation_pair
ERCC6L	MCM10	correlation_pair
FAM64A	MCM10	correlation_pair
CDC45	MCM10	correlation_pair
E2F2	MCM10	correlation_pair
AURKA	MCM10	correlation_pair
AURKB	MCM10	correlation_pair
KIF23	MCM10	correlation_pair
MAD2L1	MCM10	correlation_pair
KIF4A	MCM10	correlation_pair
KIF14	MCM10	correlation_pair
KIF20A	MCM10	correlation_pair
BUB1B	MCM10	correlation_pair
DEPDC1	MCM10	correlation_pair
CDK1	MCM10	correlation_pair
CEP55	MCM10	correlation_pair
C15orf42	MCM10	correlation_pair
BIRC5	MCM10	correlation_pair
ANLN	MCM10	correlation_pair
GSG2	MCM10	correlation_pair
KIFC1	MCM10	correlation_pair
ARHGAP11A	MCM10	correlation_pair
FOXM1	MCM10	correlation_pair
CDCA5	MCM10	correlation_pair
CDCA8	MCM10	correlation_pair
GINS1	MCM10	correlation_pair
CDC25A	MCM10	correlation_pair
KIF18A	MCM10	correlation_pair
KIF18B	MCM10	correlation_pair
BLM	MCM10	correlation_pair
BUB1	MCM10	correlation_pair
CKAP2L	MCM10	correlation_pair
IQGAP3	MCM10	correlation_pair
CCNB2	MCM10	correlation_pair
ASPM	MCM10	correlation_pair
KIF15	MCM10	correlation_pair
KIF11	MCM10	correlation_pair
HJURP	MCM10	correlation_pair
ESPL1	MCM10	correlation_pair
DEPDC1B	MCM10	correlation_pair
CCNA2	MCM10	correlation_pair
EXO1	MCM10	correlation_pair
FAM54A	MCM10	correlation_pair
FAM83D	MCM10	correlation_pair
CENPI	MCM10	correlation_pair
CENPE	MCM10	correlation_pair
CENPA	MCM10	correlation_pair
KIF2C	MCM10	correlation_pair
ESR1	GPR77	correlation_pair
UQCRH	UQCRHL	correlation_pair
CDC45	DLGAP5	correlation_pair
AURKA	DLGAP5	correlation_pair
AURKB	DLGAP5	correlation_pair
BUB1B	DLGAP5	correlation_pair
CDC25C	DLGAP5	correlation_pair
DEPDC1	DLGAP5	correlation_pair
CDK1	DLGAP5	correlation_pair
CEP55	DLGAP5	correlation_pair
C15orf42	DLGAP5	correlation_pair
BIRC5	DLGAP5	correlation_pair
ANLN	DLGAP5	correlation_pair
ARHGAP11A	DLGAP5	correlation_pair
CDCA5	DLGAP5	correlation_pair
CDCA8	DLGAP5	correlation_pair
CDC20	DLGAP5	correlation_pair
BUB1	DLGAP5	correlation_pair
CKAP2L	DLGAP5	correlation_pair
CCNB2	DLGAP5	correlation_pair
CCNB1	DLGAP5	correlation_pair
ASPM	DLGAP5	correlation_pair
CDKN3	DLGAP5	correlation_pair
DEPDC1B	DLGAP5	correlation_pair
CCNA2	DLGAP5	correlation_pair
CENPI	DLGAP5	correlation_pair
CENPF	DLGAP5	correlation_pair
CENPE	DLGAP5	correlation_pair
CENPA	DLGAP5	correlation_pair
C15orf23	OIP5	correlation_pair
KIF4A	OIP5	correlation_pair
BUB1B	OIP5	correlation_pair
CDK1	OIP5	correlation_pair
CEP55	OIP5	correlation_pair
NCAPH	OIP5	correlation_pair
CCNB2	OIP5	correlation_pair
HJURP	OIP5	correlation_pair
CENPA	OIP5	correlation_pair
NUSAP1	OIP5	correlation_pair
ESR1	TBC1D9	correlation_pair
GATA3	TBC1D9	correlation_pair
